tconst,Title,Genres,runtime_minutes,vote_average,vote_count,budget_est,worldwide_gross,release_day,release_month,release_year
tt2510894,Hotel Transylvania 2,"['Animation', 'Comedy', 'Family', 'Fantasy']",89.0,6.7,96089.0,80000000.0,471363628.0,25,9,2015
tt1502712,Fantastic Four,"['Action', 'Adventure', 'Science Fiction']",100.0,4.302664860923013,143985.0,120000000.0,167913391.5,7,8,2015
tt3076658,Creed,['Drama'],133.0,7.594739396801658,228681.0,37000000.0,173567581.0,25,11,2015
tt1895587,Spotlight,"['Drama', 'Thriller', 'History']",129.0,8.095999135240309,370045.0,20000000.0,95389357.0,6,11,2015
tt3450650,Paul Blart: Mall Cop 2,"['Action', 'Comedy', 'Family']",94.0,4.417019667170954,31728.0,38000000.0,107623944.0,17,4,2015
tt0884732,The Wedding Ringer,['Comedy'],101.0,6.697167447755476,67854.0,23000000.0,79985738.0,16,1,2015
tt1355683,Black Mass,"['Drama', 'Crime']",123.0,6.893602209454794,157867.0,53000000.0,98837872.0,18,9,2015
tt2361509,The Intern,['Comedy'],121.0,7.1,194867.0,37500000.0,195840191.0,25,9,2015
tt1390411,In the Heart of the Sea,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",122.0,6.894212070599919,110765.0,100000000.0,91807033.5,11,12,2015
tt1596363,The Big Short,"['Comedy', 'Drama']",130.5,7.792581654369131,313884.0,28000000.0,133254629.0,11,12,2015
tt1524930,Vacation,['Comedy'],99.0,6.102160507618749,89516.0,31000000.0,103345344.0,29,7,2015
tt2679042,Hitman: Agent 47,"['Action', 'Crime', 'Thriller']",96.0,5.697855944769915,82274.0,35000000.0,82075126.5,21,8,2015
tt2279373,The SpongeBob Movie: Sponge Out of Water,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",92.0,5.992185578535494,44725.0,74000000.0,311303606.5,6,2,2015
tt1674771,Entourage,['Comedy'],104.0,6.5964138236842835,72166.0,30000000.0,47850971.0,3,6,2015
tt2938956,The Transporter Refueled,"['Thriller', 'Action', 'Crime', 'Mystery']",96.0,5.204514404514405,37037.0,23500000.0,71164082.5,4,9,2015
tt3045616,Mortdecai,"['Comedy', 'Adventure']",106.5,5.497356898083513,63032.0,60000000.0,30407347.0,23,1,2015
tt3332064,Pan,"['Adventure', 'Family', 'Fantasy']",111.0,5.802954766536965,57568.0,150000000.0,139957146.5,9,10,2015
tt1881002,Maggie,"['Horror', 'Drama', 'Mystery']",95.0,5.592747735244391,39629.0,4250000.0,607436.0,8,5,2015
tt3682448,Bridge of Spies,"['Thriller', 'Drama']",141.5,7.593546239109372,267317.0,40000000.0,163988343.0,16,10,2015
tt2224026,Home,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",94.0,6.605378501865015,88203.0,132500000.0,377434451.5,27,3,2015
tt3322364,Concussion,['Drama'],123.0,7.1,79011.0,35000000.0,50363790.0,25,12,2015
tt2503944,Burnt,"['Drama', 'Comedy']",100.5,6.596236289852702,97829.0,20000000.0,36690126.5,23,10,2015
tt2561572,Get Hard,['Comedy'],100.0,6.0,112656.0,40000000.0,109161453.0,27,3,2015
tt4178092,The Gift,"['Thriller', 'Mystery']",108.0,7.094278482221744,125631.0,5000000.0,58978565.0,7,8,2015
tt2381111,Brooklyn,"['Drama', 'Romance']",114.0,7.496784744351862,118933.0,11000000.0,62076141.0,4,11,2015
tt3488710,The Walk,"['Adventure', 'Drama', 'Thriller']",123.0,7.293169682852535,111620.0,35000000.0,61337023.0,2,10,2015
tt1398426,Straight Outta Compton,"['Drama', 'Music']",147.0,7.897552508141377,167355.0,28000000.0,201908986.0,14,8,2015
tt3622592,Paper Towns,"['Drama', 'Mystery', 'Romance']",109.0,6.288217324179614,91329.0,12000000.0,85481392.0,24,7,2015
tt2452042,The Peanuts Movie,"['Adventure', 'Comedy', 'Animation', 'Family']",88.0,7.088837000224758,40043.0,99000000.0,248162361.5,1,11,2015
tt2726560,The Longest Ride,"['Drama', 'Romance']",125.5,7.110565515331902,72235.0,34000000.0,63408104.5,10,4,2015
tt1850457,Sisters,['Comedy'],118.0,5.99846117898391,59916.0,30000000.0,105520856.5,18,12,2015
tt3787590,We Are Your Friends,"['Drama', 'Music', 'Romance', 'Comedy']",96.0,6.2036969733079115,33568.0,4000000.0,10637752.5,28,8,2015
tt2381941,Focus,"['Romance', 'Comedy', 'Crime', 'Drama']",105.0,6.604251222493887,196320.0,57550000.0,161014331.5,27,2,2015
tt1727776,Scouts Guide to the Zombie Apocalypse,"['Comedy', 'Horror']",93.0,6.297789534715176,41394.0,15000000.0,15207810.5,30,10,2015
tt2515034,The Gunman,"['Action', 'Drama', 'Crime']",115.0,5.798408669068675,36636.0,40000000.0,16119259.5,20,3,2015
tt2446980,Joy,"['Drama', 'Comedy']",124.0,6.5977460288554655,120809.0,60000000.0,101134059.0,25,12,2015
tt2401878,Anomalisa,"['Animation', 'Comedy', 'Drama', 'Romance']",90.0,7.296854268116803,58937.0,8000000.0,5682727.0,30,12,2015
tt3567288,The Visit,"['Horror', 'Thriller', 'Mystery']",94.0,6.200000000000001,105093.0,5000000.0,98563939.0,11,9,2015
tt3569230,Legend,"['Crime', 'Thriller']",132.0,6.99759383954664,140639.0,25000000.0,42699222.0,20,11,2015
tt2918436,The Lazarus Effect,"['Thriller', 'Horror']",83.0,5.197857142857143,38500.0,4150000.0,51235019.0,27,2,2015
tt2006295,The 33,"['Drama', 'History']",123.5,6.88795235774339,32828.0,25000000.0,26651719.0,9,11,2015
tt3316948,American Ultra,"['Comedy', 'Action']",96.0,6.097763769500158,78525.0,28000000.0,28717276.0,21,8,2015
tt2752772,Sinister 2,['Horror'],97.0,5.313302581306496,42924.0,10000000.0,53716687.5,21,8,2015
tt2554274,Crimson Peak,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']",119.0,6.5,122273.0,55000000.0,74823338.0,16,10,2015
tt1243974,Aloha,"['Drama', 'Comedy', 'Romance']",105.0,5.397805698739977,55872.0,37000000.0,25818555.5,29,5,2015
tt2967224,Hot Pursuit,"['Action', 'Comedy', 'Crime']",87.0,5.110935415436432,45723.0,35000000.0,48675856.5,8,5,2015
tt2436386,Project Almanac,"['Science Fiction', 'Thriller']",106.0,6.4019863192093105,72949.0,12000000.0,33061339.0,30,1,2015
tt2058673,Point Break,"['Action', 'Crime', 'Thriller']",114.0,5.306864988558352,55062.0,102500000.0,130211651.0,25,12,2015
tt3850590,Krampus,"['Horror', 'Comedy', 'Fantasy']",98.0,6.196293802926691,56446.0,15000000.0,61788393.0,4,12,2015
tt3172532,The Diary of a Teenage Girl,"['Drama', 'Romance']",100.0,6.896650038233259,27463.0,2000000.0,1878480.5,28,8,2015
tt2293640,Minions,"['Family', 'Animation', 'Adventure', 'Comedy']",91.0,6.4,201260.0,74000000.0,1158533567.5,10,7,2015
tt3312830,Youth,"['Comedy', 'Drama']",121.0,7.293296294035044,65516.0,13180000.0,13000786.5,4,12,2015
tt3850214,Dope,"['Crime', 'Drama', 'Comedy']",103.0,7.200000000000001,77511.0,3850000.0,18088806.0,19,6,2015
tt2309260,The Gallows,"['Horror', 'Thriller']",84.0,4.219320039228506,18354.0,100000.0,42160442.0,10,7,2015
tt1976009,Victor Frankenstein,"['Drama', 'Science Fiction', 'Thriller']",109.5,5.995071058900846,48692.0,40000000.0,32675832.5,10,11,2015
tt3530002,The Night Before,['Comedy'],101.0,6.395172611132618,59411.0,25000000.0,52411671.0,20,11,2015
tt1772288,Danny Collins,"['Comedy', 'Drama', 'Music']",106.5,6.997183607149305,27695.0,10000000.0,9650798.5,20,3,2015
tt2080374,Steve Jobs,"['Drama', 'History']",122.0,7.1927159444916455,141240.0,30000000.0,35010440.0,9,10,2015
tt3808342,Son of Saul,"['War', 'Drama', 'Thriller']",107.0,7.4961799788615435,39738.0,1350000.0,5736790.0,18,12,2015
tt2268016,Magic Mike XXL,"['Comedy', 'Drama']",115.0,5.613425524623541,49607.0,14650000.0,120736827.0,1,7,2015
tt1655441,The Age of Adaline,"['Fantasy', 'Drama', 'Romance']",112.0,7.205397227844821,142777.0,27500000.0,67323906.0,24,4,2015
tt2358925,Unfinished Business,['Comedy'],91.0,5.396797394490433,29476.0,35000000.0,13822652.0,6,3,2015
tt2279339,Love the Coopers,"['Comedy', 'Family', 'Drama']",107.0,5.8,18402.0,17500000.0,42327201.0,13,11,2015
tt3623726,Ricki and the Flash,"['Comedy', 'Drama', 'Music']",100.5,5.897790235926185,21405.0,18000000.0,41245680.5,7,8,2015
tt2473510,Paranormal Activity: The Ghost Dimension,"['Horror', 'Thriller']",88.0,4.620073481737626,23135.0,10000000.0,78027963.5,23,10,2015
tt2637294,Hot Tub Time Machine 2,['Comedy'],93.0,5.1000000000000005,34956.0,14000000.0,12570647.5,20,2,2015
tt3614530,Jem and the Holograms,"['Drama', 'Fantasy', 'Music']",118.5,4.145248411322934,6924.0,5000000.0,2351310.5,23,10,2015
tt1524575,The Vatican Tapes,"['Thriller', 'Horror']",91.0,4.990386514782379,15187.0,13000000.0,8356973.5,24,7,2015
tt3369806,Max,"['Adventure', 'Drama', 'Family']",111.0,6.8,24383.0,20000000.0,43812706.0,26,6,2015
tt3077214,Suffragette,"['Drama', 'History']",106.0,6.911131262752211,35288.0,14000000.0,25023664.5,23,10,2015
tt2404425,Woman in Gold,['Drama'],109.0,7.3015967375426065,49288.0,11000000.0,60103090.0,10,4,2015
tt2555736,The Second Best Exotic Marigold Hotel,"['Drama', 'Comedy']",122.0,6.597138087288337,29351.0,10000000.0,88181286.0,6,3,2015
tt3276924,Heist,"['Crime', 'Action', 'Thriller']",93.0,6.094080355020207,25238.0,8900000.0,3712065.5,13,11,2015
tt1634003,Underdogs,"['Animation', 'Adventure', 'Romance']",106.0,6.490658882402001,8393.0,12250000.0,17726873.0,14,8,2015
tt3672840,Dragon Blade,"['Action', 'Drama', 'Adventure']",127.0,6.0,16927.0,65000000.0,122032788.5,4,9,2015
tt3966404,Mustang,['Drama'],97.0,7.60954065836861,31654.0,1350000.0,2901292.0,20,11,2015
tt3832914,War Room,"['Drama', 'Romance']",120.0,6.514385463110962,11887.0,3000000.0,70882678.0,28,8,2015
tt1658801,Freeheld,"['Romance', 'Drama']",103.0,6.526436570589315,10894.0,7000000.0,1152781.5,2,10,2015
tt3863552,Bajrangi Bhaijaan,"['Action', 'Comedy', 'Drama']",161.0,7.999637381015646,63979.0,13000000.0,135889173.5,17,7,2015
tt3181822,The Boy Next Door,['Thriller'],91.0,4.688546328526438,36198.0,4000000.0,52913896.5,23,1,2015
tt1178665,A Walk in the Woods,"['Adventure', 'Comedy', 'Drama']",104.0,6.292832627590817,22435.0,8000000.0,36555222.5,2,9,2015
tt1741273,Secret in Their Eyes,"['Crime', 'Drama', 'Mystery', 'Thriller']",111.0,6.3,38151.0,19750000.0,33731504.5,20,11,2015
tt1519461,Area 51,"['Horror', 'Thriller', 'Science Fiction']",91.0,4.204208739923631,11785.0,5000000.0,7556.0,15,5,2015
tt3862750,The Perfect Guy,"['Drama', 'Thriller']",100.0,5.602291236833532,9209.0,15000000.0,60275669.5,11,9,2015
tt3268668,Captive,"['Crime', 'Drama', 'Thriller']",97.0,5.404134114583333,6144.0,2000000.0,2796740.5,18,9,2015
tt3707106,By the Sea,"['Drama', 'Romance']",122.0,5.3018531976744185,16512.0,15000000.0,3727746.0,13,11,2015
tt2690138,The D Train,"['Drama', 'Comedy']",101.0,4.995093710136395,10191.0,1723762.0,771841.5,8,5,2015
tt2325977,Strangerland,"['Drama', 'Thriller', 'Mystery']",111.5,5.2,8134.0,10000000.0,136102.0,10,7,2015
tt1810683,Little Boy,"['Comedy', 'Drama', 'War']",106.0,7.394500164806705,21237.0,20000000.0,12127630.0,23,4,2015
tt4337690,90 Minutes in Heaven,['Drama'],121.0,4.8099431818181815,3168.0,5000000.0,4829420.5,11,9,2015
tt4183692,Woodlawn,['Drama'],123.0,6.50642380874939,6149.0,12500000.0,14398900.0,16,10,2015
tt3164256,Rock the Kasbah,"['Comedy', 'Music', 'War']",103.0,5.5,9741.0,15000000.0,3203408.5,23,10,2015
tt3385516,X-Men: Apocalypse,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",144.0,6.988561375046587,364904.0,178000000.0,543236166.5,27,5,2016
tt3498820,Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']",147.0,7.790627724863474,597507.0,250000000.0,1146682853.0,6,5,2016
tt1431045,Deadpool,"['Action', 'Adventure', 'Comedy']",108.0,7.990404531629375,841022.0,58000000.0,792062796.5,12,2,2016
tt1211837,Doctor Strange,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",115.0,7.495225880870891,527092.0,165000000.0,677052283.0,4,11,2016
tt2547584,The Light Between Oceans,"['Drama', 'Romance']",133.0,7.198234844300948,47078.0,20000000.0,24128676.5,2,9,2016
tt3183660,Fantastic Beasts and Where to Find Them,"['Adventure', 'Family', 'Fantasy']",132.0,7.30321903021152,377505.0,180000000.0,805872592.5,18,11,2016
tt2975590,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",151.5,6.48574681609781,588900.0,250000000.0,870567600.0,25,3,2016
tt2948356,Zootopia,"['Animation', 'Adventure', 'Family', 'Comedy']",108.5,7.992392158058883,393423.0,150000000.0,1021606905.5,4,3,2016
tt3110958,Now You See Me 2,"['Action', 'Comedy', 'Thriller']",129.0,6.509074151316586,222963.0,90000000.0,331613172.0,10,6,2016
tt2543164,Arrival,"['Drama', 'Science Fiction', 'Mystery']",116.0,7.8901239850153075,525870.0,47000000.0,203258040.0,11,11,2016
tt2119532,Hacksaw Ridge,"['Drama', 'History', 'War']",139.0,8.1,373512.0,40000000.0,172103518.0,4,11,2016
tt0803096,Warcraft,"['Action', 'Adventure', 'Fantasy']",123.0,6.889362795477904,229628.0,160000000.0,429599732.0,10,6,2016
tt3748528,Rogue One: A Star Wars Story,"['Action', 'Adventure', 'Science Fiction']",133.0,7.794283934017644,487888.0,200000000.0,1052580064.5,16,12,2016
tt3040964,The Jungle Book,"['Adventure', 'Drama', 'Family', 'Fantasy']",106.0,7.387182112988565,246078.0,175000000.0,964702573.5,15,4,2016
tt3691740,The BFG,"['Adventure', 'Family', 'Fantasy']",117.0,6.394622207252723,71256.0,140000000.0,197445045.5,1,7,2016
tt3640424,Allied,"['Action', 'Drama', 'War', 'Romance', 'Thriller']",124.0,7.091393397973635,128506.0,95500000.0,119393342.0,23,11,2016
tt2660888,Star Trek Beyond,"['Action', 'Adventure', 'Science Fiction']",122.0,7.092013786726072,214119.0,185000000.0,339637024.5,22,7,2016
tt4094724,The Purge: Election Year,"['Action', 'Horror', 'Thriller']",106.5,6.010462515332996,83154.0,10000000.0,118551303.5,1,7,2016
tt2404233,Gods of Egypt,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127.0,5.3999999999999995,97464.0,140000000.0,144758810.0,26,2,2016
tt2404435,The Magnificent Seven,"['Adventure', 'Action', 'Western']",132.0,6.885171438362928,172161.0,90000000.0,162442896.0,23,9,2016
tt3416828,Ice Age: Collision Course,"['Adventure', 'Animation', 'Family', 'Comedy']",94.5,5.709462248354815,51362.0,105000000.0,405367860.0,22,7,2016
tt3263904,Sully,"['Drama', 'History']",96.0,7.492404254701367,206642.0,60000000.0,239661089.5,9,9,2016
tt1985949,The Angry Birds Movie,"['Animation', 'Adventure', 'Comedy']",97.0,6.292230849947535,71475.0,73000000.0,351053715.0,20,5,2016
tt1179933,10 Cloverfield Lane,"['Thriller', 'Science Fiction', 'Drama']",103.5,7.194759859930872,265012.0,10000000.0,108286421.5,11,3,2016
