genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[18, 10749]",41233,en,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,107.0,30000000.0,159291809.0,tt1193631,0.0,"['Touchstone Pictures', 'Summit Entertainment']"
"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,117.0,110000000.0,177238796.0,tt0429493,0.0,"['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']"
"[18, 36]",45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,118.0,15000000.0,414211549.0,tt1504320,0.0,"['The Weinstein Company', 'UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare Investment', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']"
"[28, 35, 80, 53]",9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,119.0,19000000.0,141407024.0,tt0112442,0.0,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films', 'Sony Pictures']"
"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,103.0,150000000.0,318502923.0,tt0938283,0.0,"['Paramount', 'Nickelodeon Movies', 'Blinding Edge Pictures', 'Industrial Light & Magic', 'The Kennedy/Marshall Company']"
"[28, 878, 12, 53]",34851,en,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,107.0,40000000.0,127233108.0,tt1424381,0.0,"['Davis Entertainment', '20th Century Fox', 'Dune Entertainment', 'Troublemaker Studios']"
[18],37799,en,The Social Network,15.889000000000001,2010-10-01,The Social Network,7.2,6116,121.0,40000000.0,224920315.0,tt1285016,0.0,"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions', 'Sony Pictures']"
"[28, 53]",38234,en,Undisputed III: Redemption,15.886,2010-05-22,Undisputed III: Redemption,7.4,302,96.0,3000000.0,0.0,tt1156466,0.0,"['Undisputed 3 Productions', 'Nu Image']"
"[18, 36]",568,en,Apollo 13,15.855,1995-06-30,Apollo 13,7.4,2821,140.0,52000000.0,355237933.0,tt0112384,0.0,"['Imagine Entertainment', 'Universal Pictures', 'TF1 International']"
"[28, 53, 878, 12]",95,en,Armageddon,15.799000000000001,1998-07-01,Armageddon,6.7,4267,151.0,140000000.0,553799566.0,tt0120591,0.0,"['Touchstone Pictures', 'Jerry Bruckheimer Films', 'Valhalla Motion Pictures']"
