genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[27, 53]",50272,es,Somos lo que hay,2.889,2011-02-18,We Are What We Are,5.8,38,90.0,0.0,0.0,tt1620604,0.0,['Centro de Capacitación Cinematográfica (CCC)']
[99],109581,en,Mission to Lars,2.88,2015-09-25,Mission to Lars,6.3,9,74.0,0.0,0.0,tt1865450,0.0,['Spicer and Moore']
"[35, 10749]",78309,en,Answer This!,2.872,2011-10-13,Answer This!,4.8,9,105.0,0.0,0.0,tt1488164,0.0,"['3, 4 Women Productions']"
[35],76815,en,Barely Legal,2.872,2011-07-26,Barely Legal,3.8,29,89.0,1000000.0,0.0,tt1912996,0.0,['The Asylum']
"[18, 10770]",108251,en,Girl Fight,2.863,2011-10-03,Girl Fight,6.3,18,90.0,0.0,0.0,tt1956502,0.0,"['Media Nation', 'Front Street Pictures', 'Lifetime']"
[18],65953,en,Gun Hill Road,2.863,2011-08-05,Gun Hill Road,6.0,9,86.0,119567.0,0.0,tt1525838,0.0,['A Small Production Company']
[18],60421,fa,Circumstance,2.86,2011-08-26,Circumstance,6.9,45,107.0,0.0,0.0,tt1684628,0.0,"['Bago Pictures', 'Marakesh Films', 'A Space Between']"
"[12, 16, 28]",63686,en,Thor: Tales of Asgard,2.858,2011-05-17,Thor: Tales of Asgard,6.2,75,77.0,0.0,3100000.0,tt1667903,0.0,['Marvel Animation']
[35],57889,ru,Самый лучший фильм 3-ДЭ,2.8569999999999998,2011-11-11,The Best Movie 3-DE,3.0,8,102.0,6500000.0,9816332.0,tt1796603,0.0,['Turner Network Television']
[18],68335,en,Now & Later,2.843,2009-02-18,Now & Later,5.1,15,99.0,0.0,0.0,tt0865560,0.0,"['Cinema Libre Studio', 'Imago-Creata']"
"[80, 18]",87108,en,Few Options,2.839,2011-07-01,Few Options,3.0,1,90.0,1.0,0.0,tt1721494,0.0,[]
[35],296192,en,Comedy Central Roast of Charlie Sheen,2.838,2011-09-19,Comedy Central Roast of Charlie Sheen,7.4,38,90.0,0.0,0.0,tt1985970,0.0,['Comedy Central']
"[878, 14]",286328,en,Emmanuelle Through Time: Emmanuelle's Skin City,2.838,2011-10-06,Emmanuelle Through Time: Emmanuelle's Skin City,7.0,3,87.0,0.0,0.0,tt3166680,0.0,['Click Productions Inc.']
"[28, 878]",82756,en,The Terror Beneath,2.838,2011-10-08,The Terror Beneath,4.0,12,90.0,0.0,0.0,tt1706680,0.0,[]
[53],109230,en,The Eves,2.832,2011-04-30,The Eves,5.7,5,85.0,0.0,0.0,tt1433343,0.0,[]
"[99, 10402]",79201,en,God Bless Ozzy Osbourne,2.8280000000000003,2011-04-24,God Bless Ozzy Osbourne,7.0,13,94.0,0.0,0.0,tt1785389,0.0,['Next Entertainment']
[99],83891,en,Unauthorized: The Harvey Weinstein Project,2.819,2011-10-07,Unauthorized: The Harvey Weinstein Project,5.1,8,90.0,0.0,0.0,tt1615151,0.0,[]
[16],118249,en,Thriller Night,2.8089999999999997,2011-09-13,Thriller Night,6.5,15,6.0,0.0,0.0,tt2051999,0.0,['DreamWorks Animation']
"[18, 35, 10749]",87820,en,Uncle Kent,2.806,2011-01-17,Uncle Kent,6.2,8,72.0,0.0,0.0,tt1787831,0.0,[]
"[36, 28, 18]",45075,ko,구르믈 버서난 달처럼,2.7969999999999997,2011-09-13,Blades of Blood,6.2,18,108.0,0.0,0.0,tt1730695,1.0,"['Achim Pictures', 'Tiger Pictures', 'SK Telecom']"
"[18, 36]",48573,en,Lope,2.7939999999999996,2011-01-09,Lope,5.4,15,106.0,0.0,0.0,tt1186357,0.0,"['El Toro Pictures', 'Ikiru Films', 'Conspiração Filmes', 'Atresmedia']"
"[35, 18]",77261,en,Five,2.792,2011-10-10,Five,7.2,15,87.0,0.0,0.0,tt1877740,0.0,"['Echo Films', 'Sony Pictures Television Studios']"
[18],67943,no,Jeg reiser alene,2.783,2011-12-03,I Travel Alone,6.1,11,90.0,0.0,0.0,tt1657512,0.0,['Motlys']
"[18, 10749]",55151,ro,"Marți, după Crăciun",2.775,2011-05-25,"Tuesday, After Christmas",6.8,20,99.0,0.0,20666.0,tt1470024,0.0,"['Romanian National Center for Cinematography', 'BV McCann-Erickson', 'HBO Romania', 'Media Programme of the European Community', 'Mindshare Media', 'Multimedia Est']"
"[35, 18]",91930,en,The Perfect Family,2.773,2011-04-30,The Perfect Family,4.7,12,84.0,0.0,0.0,tt1650058,0.0,[]
"[18, 28, 878]",120370,en,Three Inches,2.772,2011-12-29,Three Inches,6.0,7,87.0,0.0,0.0,tt2151885,0.0,[]
[53],204973,en,Venom,2.758,2011-07-15,Venom,4.3,6,92.0,0.0,0.0,tt1931601,0.0,['Straight Line Movies']
[878],80201,en,Storm War,2.7539999999999996,2011-11-26,Storm War,3.5,11,82.0,0.0,0.0,tt1743375,0.0,['Active Entertainment']
"[14, 28, 878]",75507,en,Dragon Crusaders,2.752,2011-09-27,Dragon Crusaders,2.4,14,90.0,0.0,0.0,tt1999141,0.0,['The Asylum']
[27],74328,en,Ice Road Terror,2.7489999999999997,2011-07-11,Ice Road Terror,3.7,12,90.0,0.0,0.0,tt1657285,0.0,"['ARO Entertainment', 'Hybrid']"
"[27, 37]",71548,en,The Dead and the Damned,2.736,2011-07-26,The Dead and the Damned,3.0,11,82.0,30000.0,0.0,tt1565441,0.0,[]
[18],70925,en,Oranges and Sunshine,2.7260000000000004,2011-10-21,Oranges and Sunshine,7.2,43,100.0,0.0,0.0,tt1438216,0.0,"['Sixteen Films', 'See-Saw Films']"
"[18, 10749]",42679,it,Giulia non esce la sera,2.7260000000000004,2011-02-01,Giulia Doesn't Date at Night,6.6,21,105.0,0.0,0.0,tt1261055,0.0,"['Rai Cinema', 'Ministero per i Beni e le Attività Culturali', '01 Distribution', 'Lumière & Co.']"
"[18, 27, 28, 53, 878]",70583,en,Empty,2.7239999999999998,2011-01-25,Empty,3.9,11,82.0,0.0,0.0,tt1798148,0.0,[]
"[18, 35]",72551,he,הערת שוליים,2.721,2011-05-25,Footnote,7.3,30,102.0,0.0,0.0,tt1445520,0.0,"['United King Films', 'Movie Plus Productions']"
"[18, 36, 10751, 10749]",31185,zh,白銀帝國,2.72,2011-06-03,Empire of Silver,5.8,5,113.0,0.0,0.0,tt1362045,0.0,"['Crystal Clear Pictures', 'Ocean Pictures']"
"[99, 10770]",76360,en,6 Days to Air: The Making of South Park,2.718,2011-10-09,6 Days to Air: The Making of South Park,7.5,52,42.0,0.0,0.0,tt2076781,0.0,['Comedy Central']
"[10751, 16, 14]",227257,en,Monster High: Fright On!,2.717,2011-10-31,Monster High: Fright On!,6.0,18,46.0,500000.0,0.0,tt2615666,0.0,['Mattel Playground Productions']
"[16, 35]",113736,en,I Tawt I Taw a Puddy Tat,2.71,2011-11-17,I Tawt I Taw a Puddy Tat,6.2,12,4.0,0.0,0.0,tt2116900,0.0,"['Warner Bros. Animation', 'Reel FX Creative Studios', 'Warner Bros. Pictures']"
"[99, 36]",86726,en,Under the Boardwalk: The Monopoly Story,2.7030000000000003,2011-03-04,Under the Boardwalk: The Monopoly Story,6.2,14,88.0,0.0,0.0,tt1250861,0.0,[]
"[35, 10749]",83754,ko,너는 펫,2.7030000000000003,2011-11-10,You Are My Pet,6.1,38,110.0,0.0,0.0,tt2040605,0.0,['Lotte Entertainment']
[18],150065,en,Yelling To The Sky,2.7,2011-03-11,Yelling To The Sky,5.4,9,94.0,0.0,0.0,tt1504508,0.0,['YTTS LLC']
[99],83938,en,Scream: The Inside Story,2.697,2011-04-06,Scream: The Inside Story,6.7,11,120.0,0.0,0.0,tt1785550,0.0,[]
[99],53505,en,The Last Lions,2.6860000000000004,2011-02-11,The Last Lions,7.6,25,88.0,0.0,0.0,tt1692928,0.0,['National Geographic Films']
"[878, 18]",287940,en,Night Sights,2.6830000000000003,2011-12-31,Night Sights,3.4,9,89.0,250000.0,0.0,tt2363309,0.0,"['Envoy Pictures', 'Medal Lion Entertainment']"
[27],52413,ko,여고괴담 5: 동반자살,2.675,2011-02-08,A Blood Pledge,5.0,17,88.0,125000.0,3470000.0,tt1565058,0.0,"['Cine2000', 'Lotte Entertainment']"
"[53, 18, 28]",48417,cn,綫人,2.662,2011-04-24,The Stool Pigeon,5.7,23,113.0,10000000.0,0.0,tt1535492,0.0,"['Emperor Motion Pictures', 'Huayi Brothers Pictures', 'Sil-Metropole Organisation']"
[35],63447,no,Amors Baller,2.654,2011-06-06,Cupid's Balls,5.3,10,79.0,2800000.0,0.0,tt1695763,0.0,['SF Norge']
"[27, 878]",55248,en,Behemoth,2.647,2011-01-15,Behemoth,4.4,17,90.0,1300000.0,0.0,tt1566486,0.0,"['CineTel Films', 'Goliath Pictures']"
"[35, 28]",58679,zh,刀见笑,2.642,2011-03-17,"The Butcher, the Chef, and the Swordsman",5.5,12,92.0,0.0,0.0,tt1722513,0.0,"['First Cut Studios Inc.', 'Fox International Productions']"
[35],85944,en,Tom Papa: Live in New York City,2.64,2011-07-01,Tom Papa: Live in New York City,5.9,7,57.0,0.0,0.0,tt1910649,0.0,['New Wave Entertainment']
"[18, 878, 53, 27]",77444,en,The Corridor,2.634,2012-03-30,The Corridor,5.1,28,99.0,0.0,0.0,tt1602617,0.0,"['Last Call Productions', 'Chronicle Pictures', 'Kulwar Films']"
"[80, 18, 28, 53, 9648]",78224,en,Certain Prey,2.6319999999999997,2011-11-06,Certain Prey,4.5,11,89.0,0.0,0.0,tt1864461,0.0,['Jaffe/Braunstein Films']
"[18, 53, 10749]",61294,ru,You and I,2.6289999999999996,2011-01-31,You and I,4.9,25,101.0,20000000.0,0.0,tt1046171,0.0,"['RAMCO', 'Angels Kiss']"
[35],65892,en,My Future Boyfriend,2.623,2011-04-10,My Future Boyfriend,5.1,33,73.0,0.0,0.0,tt1747924,0.0,['Bayonne Entertainment']
"[18, 10749]",88752,zh,當愛來的時候,2.6210000000000004,2011-03-11,When Love Comes,7.3,10,107.0,0.0,0.0,tt1829658,0.0,['Chang Tso-chi Film Studio']
"[35, 18]",62069,sv,Fyra år till,2.6210000000000004,2011-06-20,Four More Years,6.7,10,87.0,0.0,0.0,tt1598496,0.0,"['Anagram Film', 'Film i Väst', 'Svensk Filmindustri', 'SVT', 'Cinenic Film', 'The Chimney Pot']"
"[35, 18]",57400,fr,Shlichuto Shel Hamemune Al Mashabei Enosh,2.62,2011-03-04,The Human Resources Manager,6.9,10,103.0,0.0,0.0,tt1311075,0.0,"['Libra Film', '2-Team Productions', 'Pallas Film']"
"[35, 18]",76175,de,Hotel Lux,2.6189999999999998,2011-12-20,Hotel Lux,5.9,25,102.0,0.0,0.0,tt1529559,0.0,"['Bavaria Pictures', 'Colonia Media Filmproduktions GmbH', 'Little Shark Entertainment', 'Bavaria Film', 'BSI International Invest', 'Beeplex', 'Rainer Windhager Film Production', 'ARD/Degeto Film', 'RBB', 'WDR', 'Bayerischer Rundfunk', 'herbX Film']"
"[18, 27, 28, 53]",84449,en,Remains,2.6180000000000003,2011-12-06,Remains,4.6,30,88.0,750000.0,0.0,tt1870527,0.0,[]
"[35, 18, 10749]",60098,ko,하하하,2.611,2011-04-22,Hahaha,6.6,16,116.0,0.0,0.0,tt1452626,0.0,"['Jeonwonsa Film', 'Sponge Ent.']"
"[35, 10749]",82685,en,Division III: Football's Finest,2.6069999999999998,2011-10-14,Division III: Football's Finest,4.3,25,98.0,0.0,0.0,tt1562849,0.0,[]
"[12, 27, 53]",129798,en,The Crying Dead,2.603,2011-10-31,The Crying Dead,4.0,9,0.0,0.0,0.0,tt1814905,0.0,[]
"[18, 28, 53]",58959,ko,무적자,2.593,2011-11-08,A Better Tomorrow,6.1,27,124.0,8700000.0,0.0,tt1138442,0.0,['Lion Rock Productions']
"[35, 10749, 14]",85729,ru,Moy Paren - Angel,2.589,2011-12-25,My Boyfriend an Angel,6.7,7,97.0,2700000.0,2372984.0,tt2158649,1.0,['Paradise Production Center']
"[35, 18, 10749, 10770]",145312,en,Dear Santa,2.5860000000000003,2011-08-11,Dear Santa,6.8,54,90.0,0.0,0.0,tt1893218,0.0,"['Nomadic Pictures', 'ITV Studios America', 'Annuit Coeptis Entertainment Inc.']"
"[10751, 14, 27]",75862,en,The Great Ghost Rescue,2.582,2011-10-04,The Great Ghost Rescue,4.9,12,79.0,0.0,0.0,tt1185244,0.0,['CTV International']
"[28, 10751]",58448,en,Knockout,2.575,2011-03-05,Knockout,5.1,25,95.0,9000000.0,0.0,tt1691453,0.0,"['Nasser Group, North', 'NGN Productions', 'Phase 4 Films', 'Caliber Media Company']"
[27],70878,en,Mimesis,2.573,2011-10-07,Mimesis,3.8,18,95.0,0.0,0.0,tt1720164,1.0,[]
[18],79919,de,Stadt Land Fluss,2.57,2011-06-23,Harvest,7.0,20,88.0,0.0,0.0,tt1827528,0.0,[]
"[18, 35, 10749]",63555,es,Año bisiesto,2.563,2011-06-24,Leap Year,5.6,30,94.0,0.0,0.0,tt1537401,0.0,[]
"[27, 9648, 14, 28]",42916,en,Fading of the Cries,2.559,2011-07-08,Fading of the Cries,3.6,16,90.0,450000.0,0.0,tt1262406,0.0,"['Fading of the Cries', 'Ratio Pictures']"
"[16, 12, 10751, 35]",81670,en,Jock of the Bushveld,2.5540000000000003,2011-07-29,Jock of the Bushveld,4.2,7,89.0,0.0,0.0,tt1822239,1.0,[]
"[35, 27]",67655,en,Bloodlust Zombies,2.553,2011-07-05,Bloodlust Zombies,2.8,7,80.0,75000.0,0.0,tt1904850,0.0,[]
[35],72951,en,Not Another Not Another Movie,2.551,2011-10-17,Not Another Not Another Movie,2.6,13,89.0,4.0,0.0,tt1302019,0.0,"['Color Green Films', 'True Fiction Filmz']"
[35],57518,en,Eddie Griffin: You Can Tell 'Em I Said It,2.55,2011-02-19,Eddie Griffin: You Can Tell 'Em I Said It,6.5,9,82.0,0.0,0.0,tt1772263,0.0,"['Front Of The Bus', 'New Wave Entertainment', 'Comedy Dynamics']"
"[35, 10749]",65696,pl,"Och, Karol 2",2.548,2011-11-11,"Och, Karol 2",5.2,17,97.0,0.0,0.0,tt1808360,0.0,[]
[35],83330,en,The Catechism Cataclysm,2.542,2011-10-19,The Catechism Cataclysm,3.9,8,75.0,0.0,0.0,tt1772371,0.0,[]
"[10751, 18, 10749]",81421,en,Lucky Christmas,2.54,2011-11-12,Lucky Christmas,5.3,14,87.0,90.0,0.0,tt2039366,0.0,"['Julijette', 'Hallmark Entertainment']"
[35],82510,en,Hollywood Sex Wars,2.533,2011-10-03,Hollywood Sex Wars,3.8,6,98.0,0.0,0.0,tt1764366,0.0,[]
[35],56965,en,Dirty Movie,2.533,2011-02-15,Dirty Movie,3.2,22,91.0,1150000.0,0.0,tt1107812,0.0,"['National Lampoon', 'Camelot Entertainment Group']"
[99],78220,en,iGenius: How Steve Jobs Changed the World,2.528,2011-11-16,iGenius: How Steve Jobs Changed the World,6.8,16,42.0,0.0,0.0,tt2088029,0.0,['Peacock Productions']
"[10770, 80, 9648, 53]",63326,fr,The Perfect Student,2.525,2011-03-01,The Perfect Student,4.6,8,90.0,0.0,0.0,tt1672131,0.0,['Hybrid']
[27],86075,de,Jack the Reaper,2.521,2011-01-01,Jack the Reaper,4.2,11,88.0,0.0,0.0,tt1552423,0.0,[]
[99],50081,en,Born to Be Wild,2.519,2011-04-08,Born to Be Wild,7.2,27,40.0,0.0,7732325.0,tt1680059,0.0,['IMAX']
[878],80583,en,Alien Armageddon,2.511,2011-11-06,Alien Armageddon,2.1,16,95.0,0.0,0.0,tt1910498,0.0,"['Starlight Entertainment', 'Morphius Film']"
"[18, 10751]",44246,de,Die Fremde,2.51,2011-02-28,When We Leave,6.7,31,119.0,0.0,0.0,tt1288376,0.0,['WDR']
[18],82708,de,Poll,2.5069999999999997,2011-01-13,The Poll Diaries,7.0,11,129.0,0.0,0.0,tt1452297,0.0,"['Dor Film Production Company', 'Amrion', 'Degeto Film', 'Südwestrundfunk', 'RBB', 'ZDF/Arte']"
[16],222664,ja,水グモもんもん,2.5,2011-01-01,Monmon the Water Spider,8.2,6,15.0,0.0,0.0,tt0768132,1.0,['Studio Ghibli']
[35],129790,en,The Death and Return of Superman,2.495,2011-11-27,The Death and Return of Superman,6.9,16,17.0,10.0,0.0,tt2117984,0.0,[]
"[14, 878, 10770]",64687,en,Metal shifters,2.491,2011-02-12,Metal Shifters,3.4,24,93.0,0.0,0.0,tt1651894,1.0,"['CineTel Films', 'Reel One Pictures', 'Super Écran', 'Movie Central Network', 'Province of British Columbia Film Incentive BC', 'The Canadian Film or Video Production Tax Credit (CPTC)', 'The Movie Network', 'Syfy']"
[28],77715,te,బద్రీనాధ్,2.478,2011-06-10,Badrinath,5.3,6,140.0,0.0,0.0,tt1625856,0.0,['Geetha Arts']
"[18, 10749]",72049,nl,Black Butterflies,2.461,2011-03-01,Black Butterflies,6.3,17,100.0,0.0,0.0,tt0906778,0.0,"['CoBo Fonds', 'IDTV Film', 'Cool Beans', 'Comet Film Produktion GmbH', 'Spier Films', 'Riba Film International', 'NTR', 'Nederlands Fonds voor de Film']"
"[28, 18, 35]",80276,te,దూకుడు,2.46,2011-09-23,Dookudu,6.1,12,174.0,0.0,0.0,tt1756476,0.0,['14 Reels Entertainment']
[18],85441,ar,٦٧٨,2.457,2011-03-26,678,7.9,30,100.0,0.0,0.0,tt1764141,0.0,"['New Century Productions', 'New Century Art Production']"
"[80, 10770, 53]",90756,en,Wandering Eye,2.457,2011-06-26,Wandering Eye,5.6,7,89.0,3000000.0,0.0,tt1757927,0.0,['Incendo Productions']
"[18, 53, 10749]",63142,en,Silver Tongues,2.447,2011-11-18,Silver Tongues,6.2,11,87.0,0.0,0.0,tt1580021,0.0,['Stick! Pictures']
"[53, 9648, 10749]",101852,en,Shuffle,2.4459999999999997,2012-03-20,Shuffle,6.6,16,82.0,500000.0,0.0,tt1488594,0.0,['Screen Media Films']
"[35, 10749]",77186,ru,Пять невест,2.441,2011-11-11,Five Brides,6.0,10,104.0,0.0,2110493.0,tt1937292,0.0,['Central Partnership']
[10402],75107,en,Nirvana: Live at the Paramount,2.44,2011-09-26,Nirvana: Live at the Paramount,8.5,14,71.0,0.0,0.0,tt2083271,0.0,['DGC Records']
[35],118354,fr,De l'huile sur le feu,2.44,2011-12-20,Wok the Kasbah,4.4,21,100.0,0.0,0.0,tt1753673,0.0,"['Récifilms', 'Axel Films']"
[99],75442,en,Eames: The Architect & The Painter,2.4330000000000003,2011-11-18,Eames: The Architect & The Painter,6.9,20,83.0,0.0,0.0,tt1972646,1.0,['American Masters Pictures']
[18],86549,en,August,2.4330000000000003,2011-06-09,August,6.6,19,100.0,0.0,0.0,tt1753460,0.0,[]
"[18, 9648, 53]",58258,en,The Chameleon,2.426,2011-07-08,The Chameleon,5.3,23,106.0,0.0,0.0,tt1359553,0.0,['Lleju Productions']
"[10749, 10770]",129120,en,Smooch,2.423,2011-02-05,Smooch,6.0,20,85.0,0.0,0.0,tt1754513,0.0,"['Beantown Ranch Entertainment', 'Silver Screen Pictures']"
"[53, 27, 28]",58718,en,Siren,2.42,2011-03-22,Siren,4.1,27,86.0,0.0,0.0,tt1548635,0.0,"['Alcove Entertainment', 'Swampfish Films', 'Ascent Media Group', 'Poisson Rouge Pictures']"
[99],80337,en,These Amazing Shadows,2.415,2011-01-22,These Amazing Shadows,7.6,36,88.0,0.0,0.0,tt1273222,0.0,['Gravitas Docufilms']
[27],65214,en,Dead Hooker in a Trunk,2.411,2011-08-03,Dead Hooker in a Trunk,5.1,12,92.0,0.0,0.0,tt1508661,0.0,"['IndustryWorks Pictures', 'Twisted Twins Productions', 'FortyFPS Productions']"
"[27, 878]",53101,en,Manborg,2.406,2011-09-22,Manborg,5.2,36,75.0,0.0,0.0,tt2060525,0.0,['Astron-6 Video International']
"[53, 18]",82492,en,On the Ice,2.404,2012-02-17,On the Ice,6.8,11,96.0,0.0,0.0,tt1663660,0.0,"['Treehead Films', 'Silverwood Films', 'Whitewater Films']"
[99],74310,en,Hell and Back Again,2.403,2011-10-04,Hell and Back Again,6.5,24,88.0,0.0,0.0,tt1748043,0.0,"['Roast Beef Productions', 'Thought Engine Media Group']"
"[10402, 18]",66767,en,Beat the World,2.4019999999999997,2011-06-10,Beat the World,4.9,27,91.0,10000000.0,0.0,tt1568139,0.0,"['Inner City Films', 'The Harold Greenberg Fund', 'Ontario Media Development Corporation (OMDC)', 'Téléfilm Canada']"
[99],82620,en,Undefeated,2.397,2011-03-13,Undefeated,7.7,37,113.0,0.0,583844.0,tt1860355,0.0,[]
[10749],65345,en,Longhorns,2.394,2011-06-25,Longhorns,5.5,19,75.0,0.0,0.0,tt1728978,0.0,['TLA Releasing']
"[28, 53]",86709,en,Last Man Standing,2.394,2011-06-07,Last Man Standing,4.4,11,84.0,0.0,0.0,tt1753597,0.0,"['Sony Pictures Television Studios', 'Valhalla Motion Pictures']"
"[28, 53, 878]",83192,ja,Gokudô heiki,2.379,2011-07-09,Yakuza Weapon,4.0,4,105.0,600000.0,0.0,tt1669604,0.0,"['Nikkatsu Corporation', 'Sushi Typhoon']"
"[18, 53]",169730,en,Amber Lake,2.376,2011-10-11,Amber Lake,5.7,3,81.0,0.0,0.0,tt1737090,0.0,['C and C FILMS']
"[99, 35]",85593,en,Bag It,2.369,2011-09-01,Bag It,5.5,5,74.0,0.0,0.0,tt1612246,0.0,[]
[35],61014,en,Your Love Never Fails,2.365,2011-04-05,Your Love Never Fails,4.6,18,96.0,0.0,0.0,tt1698639,0.0,[]
"[10770, 10749]",87313,en,Love's Christmas Journey,2.364,2011-11-05,Love's Christmas Journey,6.0,11,172.0,0.0,0.0,tt2078672,0.0,[]
[99],70845,en,There's Something Wrong with Aunt Diane,2.359,2011-07-25,There's Something Wrong with Aunt Diane,6.9,37,100.0,0.0,0.0,tt2011325,0.0,['Moxie Firecracker Films']
"[10751, 35, 10749]",137475,en,3 Holiday Tails,2.359,2011-11-15,3 Holiday Tails,5.4,15,89.0,0.0,0.0,tt1942787,0.0,[]
"[28, 18, 53]",89593,en,Jerusalem Countdown,2.3569999999999998,2011-08-26,Jerusalem Countdown,5.0,11,83.0,0.0,0.0,tt1562563,0.0,"['Pure Flix Entertainment', '10 West Studios']"
"[18, 10751, 10770]",79987,en,Christmas Lodge,2.353,2011-10-11,Christmas Lodge,5.1,17,86.0,0.0,0.0,tt1895321,0.0,"['NGN Productions', 'Nasser Group, North']"
"[18, 10751]",61038,en,Go for It!,2.352,2011-05-13,Go for It!,6.0,10,105.0,2450000.0,0.0,tt1307926,0.0,['Pantelion Films']
"[27, 878]",76635,en,"Battle: New York, Day 2",2.3480000000000003,2011-11-21,"Battle: New York, Day 2",1.0,6,91.0,150000.0,0.0,tt1887676,0.0,[]
[99],57510,en,Ethos,2.347,2011-01-01,Ethos,6.7,8,72.0,500000.0,0.0,tt1707818,0.0,[]
"[18, 28, 35]",57393,en,Africa United,2.3409999999999997,2011-06-15,Africa United,6.5,16,88.0,0.0,0.0,tt1429313,0.0,"['Out of Africa Entertainment', 'Footprint Films', 'Link Media']"
[35],119197,en,Let Go,2.334,2011-10-25,Let Go,5.6,9,95.0,0.0,0.0,tt1674776,0.0,['Thousand Miles Entertainment']
[18],98932,en,The Eye of the Storm,2.329,2011-09-07,The Eye of the Storm,5.4,11,114.0,0.0,0.0,tt1600207,0.0,['Paper Bark Films Pty. Ltd.']
"[18, 10770]",116853,en,The Bling Ring,2.325,2011-09-26,The Bling Ring,4.2,28,87.0,0.0,0.0,tt1935749,0.0,"['Dick Clark Productions', 'Silver Screen Pictures']"
"[16, 18]",16516,ja,劇場版 Clannad -クラナド-,2.324,2011-03-15,Clannad,6.7,32,94.0,0.0,0.0,tt0997274,0.0,"[""Visual Art's/Key"", 'Toei Animation']"
"[18, 10749]",103516,en,Private Romeo,2.324,2011-06-20,Private Romeo,5.6,30,97.0,0.0,0.0,tt1500512,0.0,['Wolfe Releasing']
[99],70808,de,Klitschko,2.323,2011-10-21,Klitschko,6.6,24,118.0,0.0,0.0,tt1885281,0.0,[]
"[16, 10751]",73829,en,Thomas & Friends: Day of the Diesels,2.323,2011-09-06,Thomas & Friends: Day of the Diesels,6.0,6,60.0,0.0,0.0,tt2050664,0.0,['Nitrogen Studios Canada']
"[27, 53]",58792,en,BreadCrumbs,2.319,2011-01-25,BreadCrumbs,3.9,16,88.0,0.0,0.0,tt1219822,0.0,[]
"[18, 28, 10751]",71482,no,Jørgen + Anne = sant,2.3169999999999997,2011-03-03,Totally True Love,6.6,20,83.0,1761562.0,2221278.0,tt1648099,0.0,"['FilmFondet Fuzz', 'Cinenord']"
"[35, 18]",107753,en,Collaborator,2.316,2011-10-08,Collaborator,5.3,6,87.0,0.0,0.0,tt1555058,0.0,"['This Is That Productions', 'DViant Films']"
[18],76800,en,The Last Rites of Joe May,2.313,2011-10-28,The Last Rites of Joe May,6.2,9,106.0,0.0,0.0,tt1550902,0.0,"['Last Rites of Joe May, The', 'Steppenwolf Films', 'Billy Goat Pictures']"
"[35, 10749]",68202,en,Without Men,2.312,2011-06-29,Without Men,4.5,13,83.0,4.0,0.0,tt1547090,0.0,[]
[18],62116,fr,"Nannerl, la soeur de Mozart",2.309,2011-08-19,Mozart's Sister,6.5,16,120.0,0.0,0.0,tt1653911,0.0,['Les Films Alyne']
[99],79976,en,Steve Jobs: One Last Thing,2.294,2011-11-02,Steve Jobs: One Last Thing,6.6,18,60.0,0.0,0.0,tt2096615,0.0,[]
[27],83473,en,7 Nights Of Darkness,2.294,2011-11-08,7 Nights Of Darkness,4.4,16,90.0,0.0,0.0,tt2072029,0.0,['Post Industrial Pictures']
"[35, 878]",67958,ru,"Суперменеджер, или Мотыга судьбы",2.293,2011-11-11,"SuperManager, or Hack of the Fate",4.4,5,82.0,0.0,404117.0,tt1844048,0.0,['CTB Film Company']
"[28, 36, 10752]",61346,en,Pathfinders: In the Company of Strangers,2.292,2011-01-11,Pathfinders: In the Company of Strangers,4.3,21,91.0,0.0,0.0,tt1260680,0.0,['Portland Independent Films']
[27],71326,en,Bunnyman,2.292,2011-06-20,Bunnyman,2.9,17,90.0,0.0,0.0,tt1308748,0.0,['ANOC Productions']
[18],44160,en,Bal,2.2880000000000003,2011-03-25,Honey,7.1,39,103.0,0.0,0.0,tt1571724,0.0,"['MEDIA Programme of the European Union', 'Filmstiftung Nordrhein-Westfalen', 'Eurimages', 'ZDF/Arte', 'Heimatfilm', 'Kaplan Film']"
"[18, 53]",51490,en,On the Inside,2.285,2011-12-31,On the Inside,4.9,21,95.0,4000000.0,0.0,tt1260365,0.0,[]
[35],47845,de,12 Meter ohne Kopf,2.2840000000000003,2011-05-20,12 Paces without a Head,7.2,9,108.0,8500000.0,0.0,tt1259615,0.0,"['Magnolia Filmproduktion', 'Warner Bros. Pictures', 'Wüste Film']"
"[28, 18, 10751, 36, 10752]",105945,en,Memorial Day,2.279,2011-06-06,Memorial Day,5.9,25,108.0,4200000.0,0.0,tt1694118,0.0,"['Perspective Films', '185 Trax', '7th Sense Films']"
"[18, 53]",77240,en,Betrayed at 17,2.272,2011-10-09,Betrayed at 17,5.2,6,88.0,0.0,0.0,tt1900942,0.0,"['Shadowland', 'Lifetime']"
[18],80299,en,Man on the Train,2.271,2011-10-28,Man on the Train,5.6,7,101.0,0.0,0.0,tt1646922,0.0,[]
"[28, 36, 18]",37472,cn,葉問2,2.2680000000000002,2011-01-28,Ip Man 2,7.3,1053,108.0,12902809.0,36000000.0,tt1386932,0.0,"['Mandarin Films Distribution Co.', 'Golden Harvest Company', 'Henan Film & TV Production Group Henan Film Studio', 'Beijing ShengShi HuaRei Film Investment & Management Co.', 'Desen International Media', 'Prosperity Pictures']"
